,id,min,max,parameter_name,is_available,user_changeable,type,unit,list,comment,created_at,updated_at,update_user
145,156,,,nds_multi,True,True,integer,,,,2024-03-21T17:45:08.688702+09:00,2024-03-21T17:45:08.688739+09:00,
146,157,,,nds_herical,True,True,integer,,,,2024-03-21T17:45:19.414564+09:00,2024-03-21T17:45:19.414601+09:00,
147,158,,,nds_helpart,True,True,integer,,,,2024-03-21T17:45:34.701035+09:00,2024-03-21T17:45:34.701068+09:00,
148,159,,,t_meas_start,True,True,text,,,,2024-03-21T17:45:48.011696+09:00,2024-03-21T17:45:48.011733+09:00,
149,160,,,t_mount_end,True,True,text,,,,2024-03-21T17:45:56.263031+09:00,2024-03-21T17:45:56.263066+09:00,
150,161,,,t_cent_start,True,True,text,,,,2024-03-21T17:46:10.060426+09:00,2024-03-21T17:46:10.060462+09:00,
151,162,,,t_cent_end,True,True,text,,,,2024-03-21T17:46:17.171063+09:00,2024-03-21T17:46:17.171099+09:00,
152,163,,,t_raster_start,True,True,text,,,,2024-03-21T17:46:25.032203+09:00,2024-03-21T17:46:25.032239+09:00,
153,164,,,t_ds_start,True,True,text,,,,2024-03-21T17:46:31.544891+09:00,2024-03-21T17:46:31.544928+09:00,
154,165,,,t_ds_end,True,True,text,,,,2024-03-21T17:46:39.825577+09:00,2024-03-21T17:46:39.825615+09:00,
155,166,,,t_dismount_start,True,True,text,,,,2024-03-21T17:46:48.781746+09:00,2024-03-21T17:46:48.781780+09:00,
156,167,,,t_dismount_end,True,True,text,,,,2024-03-21T17:46:56.339941+09:00,2024-03-21T17:46:56.339974+09:00,
157,168,,,data_index,True,True,integer,,,,2024-03-21T17:47:07.853200+09:00,2024-03-21T17:47:07.853235+09:00,
158,169,,,n_mount_fails,True,True,integer,,,,2024-03-21T17:47:16.367877+09:00,2024-03-21T17:47:16.367913+09:00,
159,170,,,log_mount,True,True,text,,,,2024-03-21T17:49:12.355564+09:00,2024-03-21T17:49:12.355602+09:00,
160,171,,,hel_cry_size,True,True,decimal,,,,2024-03-21T17:50:13.752733+09:00,2024-03-21T17:50:13.752771+09:00,
161,172,,,flux,True,True,decimal,,,,2024-03-21T17:50:21.768438+09:00,2024-03-21T17:50:21.768474+09:00,
162,173,,,phs_per_deg,True,True,decimal,,,,2024-03-21T17:50:37.098572+09:00,2024-03-21T17:50:37.098611+09:00,
163,174,,,raster_hbeam,True,True,decimal,,,,2024-03-21T17:57:51.513741+09:00,2024-03-21T17:57:51.513781+09:00,
164,175,,,sample_name,True,True,text,,,,2024-03-21T18:29:39.027513+09:00,2024-03-21T18:29:39.027559+09:00,
